"x","y"
0,2.01613040036604
0.025,2.55694700277674
0.05,2.14441527956912
0.075,2.06108391730573
0.1,2.89127712871709
0.125,1.96100766568509
0.15,2.57073911510244
0.175,2.22194260101148
0.2,2.94330984747346
0.225,2.78719092318456
0.25,2.59444627075724
0.275,2.67682544910022
0.3,3.12225249072433
0.325,2.6001220723927
0.35,2.74878632803428
0.375,3.16493505025451
0.4,3.32643759294397
0.425,2.6437169533679
0.45,3.27075331568786
0.475,2.91733303341608
0.5,3.12392238546685
0.525,3.75859248180666
0.55,3.71141938838384
0.575,3.39664308825267
0.6,3.21608604000995
0.625,3.62802095287272
0.65,4.04630469949316
0.675,3.87700561028962
0.7,3.75679257927541
0.725,3.68785972349623
0.75,4.00909173704081
0.775,3.98980267538269
0.8,3.97835552612466
0.825,3.54031584485068
0.85,2.96253925674151
0.875,3.61230933925314
0.9,4.18260728064566
0.925,3.74362523960885
0.95,3.61463558758018
0.975,3.19828205051613
1,3.62798572019156
1.025,3.56485130191047
1.05,3.62092561310232
1.075,3.82240893695011
1.1,3.71720729500043
1.125,4.15526876559148
1.15,3.29431578467668
1.175,3.3003693959558
1.2,3.4023227339656
1.225,3.7039701777693
1.25,4.34432761997324
1.275,4.08105733201216
1.3,3.53298717337492
1.325,3.38784457839187
1.35,3.97435547898672
1.375,3.66000242716486
1.4,3.41343764329889
1.425,3.49812263346965
1.45,3.83518889912651
1.475,3.41616283920756
1.5,3.47685250374963
1.525,3.61802468451568
1.55,3.18868794857347
1.575,2.71057060868435
1.6,3.27912425846818
1.625,3.61942714725198
1.65,3.16789981629138
1.675,3.38673948584478
1.7,2.99110743859933
1.725,2.84866338565899
1.75,3.2240984982203
1.775,2.94729876424857
1.8,3.2861921478386
1.825,3.29105574286121
1.85,2.85472431436549
1.875,2.98211866428662
1.9,3.20336881701249
1.925,3.34169092740235
1.95,2.76293108056616
1.975,2.71682422728027
2,2.74833176499726
2.025,3.18941342992144
2.05,2.58557869454709
2.075,2.60367362583644
2.1,2.71115089160252
2.125,2.3895372744376
2.15,2.64418693603591
2.175,2.64713820385563
2.2,2.78236039881783
2.225,2.9683677986873
2.25,3.23704641059221
2.275,3.01398634806286
2.3,2.39592861874309
2.325,3.23778582655391
2.35,3.03992287274732
2.375,2.8310178052654
2.4,3.23105150432417
2.425,3.00896029559862
2.45,2.82107787511576
2.475,2.71583493507378
2.5,3.18205231529027
2.525,2.28054174098238
2.55,2.92746883334412
2.575,2.66803682369212
2.6,2.43451023348081
2.625,3.14379110759384
2.65,3.07711162114053
2.675,2.54870380251578
2.7,3.11433184868904
2.725,3.36854938750529
2.75,3.48107515549297
2.775,3.42401205753202
2.8,3.60047588186282
2.825,3.49297332916449
2.85,3.59729634818929
2.875,3.50613874598983
2.9,3.28341973592337
2.925,3.72545083121004
2.95,3.98263696194706
2.975,4.44536346879803
3,3.68815290133843
3.025,3.88238532150026
3.05,3.29948957194684
3.075,3.75901122137735
3.1,4.44255602220483
3.125,4.03895732493425
3.15,4.34522962117293
3.175,4.43393759057489
3.2,4.00766191730345
3.225,4.35563220757566
3.25,4.47862970925087
3.275,4.37259093423494
3.3,4.58426608081077
3.325,4.38188527604443
3.35,4.28662260841984
3.375,4.84422884947536
3.4,5.1562890839617
3.425,4.84337426927939
3.45,4.81739930734165
3.475,4.79758401220326
3.5,5.35619569930959
3.525,5.30628176386911
3.55,5.44004241266701
3.575,5.24614827576309
3.6,5.1798507328675
3.625,5.28391211687627
3.65,5.24718906568278
3.675,4.84006873035536
3.7,5.87524267841759
3.725,4.91329979542907
3.75,5.56744168510395
3.775,4.93331255666825
3.8,5.05576576521524
3.825,5.12853198764481
3.85,4.99662111359001
3.875,5.34700917641337
3.9,5.12277451643226
3.925,5.43148858089505
3.95,5.99391587448932
3.975,5.61160906327809
4,4.88188147943487
4.025,5.52910231322024
4.05,5.40204456485905
4.075,5.95367246876626
4.1,5.5112747716003
4.125,5.26850323709367
4.15,4.95118037066936
4.175,5.32545888896696
4.2,5.64759013770104
4.225,4.99930541705524
4.25,5.01264972076271
4.275,5.51019616673512
4.3,5.46042865118422
4.325,5.06713153208325
4.35,4.97446601755642
4.375,5.00411166508203
4.4,5.38078245481838
4.425,5.02817291841034
4.45,5.04836772078644
4.475,5.4190001529568
4.5,5.14792906419748
4.525,5.20861673600992
4.55,5.31496755299293
4.575,4.65943750622162
4.6,4.67623450321051
4.625,4.70998832688516
4.65,4.74918665346273
4.675,4.41367336466296
4.7,4.58385741767531
4.725,4.25462819824028
4.75,4.52464509839181
4.775,4.08588320194154
4.8,4.25196731754074
4.825,4.69108140488478
4.85,4.12272238952676
4.875,3.96969171083011
4.9,4.30814490314131
4.925,3.18838354499908
4.95,4.07280982904572
4.975,4.0605601320998
5,4.65930675761514
5.025,3.74639645078192
5.05,3.63401293902893
5.075,4.52176572592276
5.1,3.9092983182583
5.125,3.76197928243797
5.15,3.88368735366496
5.175,3.56396785823919
5.2,3.30486379822658
5.225,3.87139421752026
5.25,3.64075690084431
5.275,3.56039891193841
5.3,3.17350715032825
5.325,3.30987144690696
5.35,3.67582921095321
5.375,3.23045056844676
5.4,3.65292474832702
5.425,3.86516077877664
5.45,3.76849769524591
5.475,3.07985118738624
5.5,3.51309682975027
5.525,3.47689282826662
5.55,3.7466859872901
5.575,3.59380241987468
5.6,3.09229325818327
5.625,3.39162168796904
5.65,3.84188729043082
5.675,3.79701052608715
5.7,4.08085024716734
5.725,3.25470444427366
5.75,3.36707431923296
5.775,3.47743590600345
5.8,3.91177755347299
5.825,3.66918292276192
5.85,4.11064953440099
5.875,3.86278712902932
5.9,3.7682102029007
5.925,4.30668727774985
5.95,3.947132227917
5.975,4.03442231715966
6,3.87183009274855
